GACC	State	Group	Site	Date	Fuel	Percent	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-19	Redcedar, Eastern	100	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-04	Redcedar, Eastern	95	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-21	Redcedar, Eastern	95	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-09	Redcedar, Eastern	94	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-02-24	Redcedar, Eastern	93	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-01-28	Redcedar, Eastern	84	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-11-04	Redcedar, Eastern	108	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-21	Redcedar, Eastern	115	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-06	Redcedar, Eastern	132	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-22	Redcedar, Eastern	127	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-10	Redcedar, Eastern	136	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-26	Redcedar, Eastern	131	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-13	Redcedar, Eastern	4	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-05-31	Bluestem, Little	133	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-05-16	Bluestem, Little	34	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-05-02	Bluestem, Little	7	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-04-24	Bluestem, Little	7	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-04-06	Bluestem, Little	7	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-03-15	Bluestem, Little	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-02-14	Bluestem, Little	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-01-19	Bluestem, Little	24	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-01-05	Bluestem, Little	23	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-12-19	Bluestem, Little	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-12-05	Bluestem, Little	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-11-09	Bluestem, Little	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-10-25	Bluestem, Little	17	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-10-13	Bluestem, Little	32	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-09-29	Bluestem, Little	72	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-09-12	Bluestem, Little	80	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-08-29	Bluestem, Little	98	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-08-09	Bluestem, Little	104	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-07-25	Bluestem, Little	126	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-07-12	Bluestem, Little	134	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-06-29	Bluestem, Little	126	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-06-16	Bluestem, Little	111	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-06-01	Bluestem, Little	109	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-05-17	Bluestem, Little	54	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-05-04	Bluestem, Little	64	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-04-19	Bluestem, Little	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2016-03-09	Bluestem, Little	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-11-04	Bluestem, Little	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-10-21	Bluestem, Little	34	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-10-06	Bluestem, Little	88	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-09-22	Bluestem, Little	73	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-09-10	Bluestem, Little	94	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-08-26	Bluestem, Little	86	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2015-08-13	Bluestem, Little	84	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-05-31	1-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-05-16	1-Hour	57	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-05-02	1-Hour	37	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-04-24	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-04-06	1-Hour	32	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-02-14	1-Hour	23	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-01-19	1-Hour	66	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-12-05	1-Hour	51	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-11-09	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-10-25	1-Hour	19	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-10-13	1-Hour	22	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-09-29	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-09-12	1-Hour	28	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-08-29	1-Hour	40	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-08-09	1-Hour	21	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-07-25	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-07-12	1-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-06-29	1-Hour	28	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-06-16	1-Hour	24	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-06-01	1-Hour	83	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-05-17	1-Hour	21	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-05-04	1-Hour	26	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-04-19	1-Hour	33	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-04-04	1-Hour	5	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-03-21	1-Hour	17	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-03-09	1-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-11-04	1-Hour	17	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-10-21	1-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-10-06	1-Hour	31	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-09-22	1-Hour	33	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-09-10	1-Hour	50	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-08-26	1-Hour	21	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-08-13	1-Hour	8	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-05-16	10-Hour	24	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-05-02	10-Hour	22	
